Name,Country,Accountno,Balance,address,mobile no.,Email
Suraj,India,1011,10000,23 Raja Block,9876543210,suraj23@gmail.com
Neeraj,India,1012,15000,43 B block delhi,8855512047,neerajkumar@yahoo.com
Kamal,India,1013,20500,Abc apartment 4,4512967700,KamalK@gmail.com
Kuneja,India,1014,20000,123 vaishali,1234567890,Kkuneja@gmail.com
Kusum,India,1017,80000,4 A delhi,7894561230,KusumK@gmail.com
Arjun,India,1018,71000,24 Raja Block,5461230987,arjun24@gmail.com
Karan,India,1013,22200,44 B block delhi,8520316497,karankumar@yahoo.com
Anurag,India,1015,85000,22 Lajpat nagar,9510236478,AnuragK@gmail.com
Khushi,India,1017,22050,5 C Saroj Nagar,7412563089,khushikumar@yahoo.com
Anushka,India,1011,30200,44 C delhi,9876543210,AnushkaK@gmail.com
Varada,India,1012,70000,55 Laxmi Nagar,1230654987,varada55@gmail.com
Shailja,India,1014,71000,123 Pandav Nagar,7536120498,shailja123@gmail.com
Vaishnavi,India,1015,50000,Mayur Vihar Phase 1,1365598904,vaishnavikumar@yahoo.com
Aditi,India,1018,44000,Mayur Vihar 2,2255263670,aditi 2@gmail.com
Kritika,India,1017,85000,123 abc apartment,5566658520,KritikaK@gmail.com
Astha,India,1016,96000,xyz delhi,9876543210,Kastha@gmail.com
Charu,India,1015,10500,125 Nirman Vihar,8855512047,charu125@gmail.com
Neelam,India,1013,21000,Mayur Vihar 2,4512967700,neelamr 2@gmail.com
Shaima,India,1011,25000,Mayur Vihar Phase 1,1234567890,shaimakumar@yahoo.com
Roshan,India,1012,21200,124 vaishali,7894561230,Kroshan@gmail.com
Swayam,India,1015,62000,Ghaziabad,5461230987,Kswayam@gmail.com
Taksh,India,1019,41000,fgh Lucknow,8520316497,Ktaksh@gmail.com
Ronit,India,1015,20040,25 Raja Block,9510236478,ronit25@gmail.com
Priyanshu,India,1016,75000,block 1 karkarduma,7412563089,PriyanshuK@gmail.com
Divya,India,1017,10000,khl Laxmi Nagar,9876543210,divyakhl@gmail.com
Divyajyot,India,1013,85000,23 Raja Block,1230654987,divyajyot23@gmail.com
Rishabh,India,1014,32000,123 Pandav Nagar,7536120498,rishabh123@gmail.com
Arya,India,1015,52000,44 C delhi,1365598904,AryaK@gmail.com
Aryamann,India,1011,10000,Ghaziabad,2255263670,Karyamann@gmail.com
Nishtha,India,1015,52000,Mayur Vihar Phase 1,5566658520,nishthakumar@yahoo.com
Aprajita,India,1016,32000,44 B block delhi,9876543210,aprajitakumar@yahoo.com
Sahithi,India,1017,56000, 22 lajpat nagar,8855512047,SahithiK@gmail.com
Tanya,India,1013,45000,55 Laxmi Nagar,4512967700,tanya55@gmail.com
Kaashvi,India,1015,75000,123 abc apartment,1234567890,KaashviK@gmail.com
Shivada,India,1018,45000,xyz delhi,7894561230,Kshivada@gmail.com
Amritha,India,1015,55000,fgh Lucknow,5461230987,Kamritha@gmail.com
Neetu,India,1016,42000,123 Pandav Nagar,8520316497,neetu123@gmail.com
Tarun,India,1014,10000,44 B block delhi,9510236478,tarunkumar@yahoo.com
Arnav,India,1013,11000,block 1 karkarduma,7412563089,ArnavK@gmail.com
Ansh,India,1012,12000,khl Laxmi Nagar,9876543210,anshkhl@gmail.com
Parvinder,India,1011,52000,125 Nirman Vihar,1230654987,parvinder125@gmail.com
Shivam,India,1018,96000,xyz delhi,7536120498,Kshivam@gmail.com
Shubham,India,1019,22300,Abc apartment 4,1365598904,ShubhamK@gmail.com
Priyashi,India,1017,45200,Ghaziabad,2255263670,Kpriyashi@gmail.com
Prabhjot,India,1011,99000,44 B block delhi,5566658520,prabhjotkumar@yahoo.com
Arav,India,1012,12000,23 Raja Block,9876543210,arav23@gmail.com
Madhav,India,1013,10000,43 B block delhi,8855512047,madhavkumar@yahoo.com
Meena,India,1015,15000,block 1 karkarduma,4512967700,MeenaK@gmail.com
Ayushi,India,1014,45000,fgh Lucknow,1234567890,Kayushi@gmail.com
Shreya,India,1016,12000,123 abc apartment,7894561230,ShreyaK@gmail.com
Kavya,India,1017,23000,143 Vasundhara,6317738833,Kkavya@gmail.com
Harish,India,1018,54000,78 Kondli,8365244770,Kharish@gmail.com
Andrew,India,1019,23000,12 Patparganj,9853257860,Kandrew@gmail.com
Kartik,India,1020,98000,17 Ip extension,1468543209,KartikK@gmail.com
kendel,India,1021,35000,98 South ex,3058992076,kendelK@gmail.com
Manya,India,1022,77000,B blok mayur vihar,8753957369,manyakumar@yahoo.com
Maithli,India,1023,99000,16 patel nagar,9135685429,MaithliK@gmail.com
Manav,India,1024,66000,c block krishna nagar,9864328443,manavkumar@yahoo.com
Rushna,India,1025,47000,23 Karkardooma,8976442654,Rushna77@gmail.com
Sara,India,1026,24000,c block preet vihar,7612650876,sarakumar@yahoo.com
Ayesha,India,1027,17000, nirman vihar c block,8335627998,ayeshakumar@yahoo.com
Wajih,India,1028,62000,"23,nehru place",9311784321,WajihH23@gamil.com
Faizan,India,1029,59000,"99, sarojini nagar",9999653786,FaizanK@gmail.com
Bianca,India,1030,98000,"a block, kondli",9322756432,BiancaK@gmail.com
Shivi,India,1031,76000,23 city apartment,8447168905,ShiviK@gmail.com
